Field Name	Content	UC_ID	Target_Range
Basic Flow	"1. The user opens an account detail page and selects Edit.
2. AccountEditForm is populated from loaded AccountDetail data.
3. The user changes bank_name, account_type, optional branch_name, account_number_full, or balance.
4. The user selects Save Changes.
5. The frontend validates required fields (bank_name, account_number_full), allowed account_type, valid account_number_full format (8-34 digits), and numeric non-negative balance.
6. The frontend sends PUT /api/v1/accounts/:id with all update fields (excluding account_number_last_4).
7. The controller validates that id parses to an integer.
8. AccountService verifies that the account exists and belongs to userId.
9. ValidationPipe and AccountService validate the submitted fields.
10. AccountService derives account_number_last_4, overwrites the account fields, and saves the row.
11. The frontend displays a success toast, waits 1500ms, and invokes its success callback; AccountDetailPage reloads account data and exits edit mode."	UC-08	A153:B199
Alternative Flow	"AF-1: Optional branch omitted
3a. The user clears branch_name.
10a. The backend stores branchName as undefined/null.

AF-2: Cancel
4a. The user selects Cancel and the detail page exits edit mode without sending an update request."	UC-08	A153:B199
Exception Flow	"EF-1: Client-side or DTO validation failure
5a. The frontend displays field errors, or the backend returns HTTP 400.

EF-2: Account not found
8a. The backend returns HTTP 404.

EF-3: Account belongs to another user
8a. The backend returns HTTP 403 and the frontend displays its permission error.

EF-4: Storage failure
10a. The backend returns HTTP 500 and the frontend displays its save failure message."	UC-08	A153:B199
Related UI	AccountDetailPage; AccountEditForm; route /accounts/:id	UC-08	A153:B199
Related API IDs	API-ACCOUNT-UPDATE	UC-08	A153:B199
Notes	Clarification: When account_number_full is changed, the new value must remain unique among the authenticated user's accounts.	UC-08	A153:B199
UML Model	"~~~plantuml
@startuml

class User <<Entity>> {
  user_id: Integer [1]
  full_name: String [1]
  email: String [1]
  username: String [1]
  password: String [1]
  phone_number: String [1]
  profile_picture_url: String [1]
  total_balance: Decimal [1]
}

class Account <<Entity>> {
  account_id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

enum AccountType {
  Checking
  Credit_Card
  Savings
  Investment
  Loan
}
note right of AccountType
  Credit_Card maps to database literal 'Credit Card'.
end note

class UpdateAccountDto <<DTO>> {
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  balance: Decimal [1]
}
note left of UpdateAccountDto
  account_number_last_4 is deliberately omitted 
  from input to enforce backend derivation.
end note

class UpdatedAccountDto <<DTO>> {
  account_id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

class UpdateAccountResponseDto <<DTO>> {
  message: String [1]
  account: UpdatedAccountDto [1]
}

class AccountService <<Service>> {
  update(accountId: Integer, userId: Integer, dto: UpdateAccountDto): UpdatedAccountDto
}

User ""1"" -- ""0..*"" Account : owns
AccountService ..> UpdatedAccountDto
AccountService ..> UpdateAccountDto
UpdateAccountDto ..> Account : mapped to
UpdatedAccountDto ..> Account : mapped from
UpdateAccountResponseDto *-- ""1"" UpdatedAccountDto : contains

@enduml
~~~"	UC-08	A153:B199
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-ACC-19: Account ownership validation for update
context AccountService::update(
  accountId : Integer,
  userId : Integer,
  dto : UpdateAccountDto
) : UpdatedAccountDto
pre BR_ACC_19_MustOwnAccount:
  Account.allInstances()->exists(a |
    a.account_id = accountId and
    a.user_id = userId
  )

BR-ACC-20: Allowed account types for update
context AccountService::update(
  accountId : Integer,
  userId : Integer,
  dto : UpdateAccountDto
) : UpdatedAccountDto
pre BR_ACC_20_ValidType:
  Set{AccountType::Checking, AccountType::Credit_Card, AccountType::Savings, AccountType::Investment, AccountType::Loan}->includes(dto.account_type)

BR-ACC-21: Required account text fields for update
context AccountService::update(
  accountId : Integer,
  userId : Integer,
  dto : UpdateAccountDto
) : UpdatedAccountDto
pre BR_ACC_21_RequiredText:
  not dto.bank_name.oclIsUndefined() and dto.bank_name.trim().size() > 0 and
  not dto.account_number_full.oclIsUndefined() and dto.account_number_full.trim().size() > 0

BR-ACC-22: Account number format and length for update
context AccountService::update(
  accountId : Integer,
  userId : Integer,
  dto : UpdateAccountDto
) : UpdatedAccountDto
pre BR_ACC_22_NumericCharactersOnly:
  not dto.account_number_full.oclIsUndefined() and 
  matches(dto.account_number_full, '^[0-9]+$')
pre BR_ACC_22_LengthConstraints:
  dto.account_number_full.size() >= 8 and dto.account_number_full.size() <= 34

BR-ACC-23: Numeric non-negative account balance for update
context AccountService::update(
  accountId : Integer,
  userId : Integer,
  dto : UpdateAccountDto
) : UpdatedAccountDto
pre BR_ACC_23_IsNumeric:
  dto.balance.oclIsTypeOf(Real) or dto.balance.oclIsTypeOf(Integer)
pre BR_ACC_23_NonNegativeBalance:
  not dto.balance.oclIsUndefined() and dto.balance >= 0

BR-ACC-24: Optional branch name handling during update
context AccountService::update(
  accountId : Integer,
  userId : Integer,
  dto : UpdateAccountDto
) : UpdatedAccountDto
pre BR_ACC_24_BranchNameOptional:
  dto.branch_name.oclIsUndefined() or dto.branch_name.oclIsTypeOf(String)

BR-ACC-25: Derive final four account characters for update
context AccountService::update(
  accountId : Integer,
  userId : Integer,
  dto : UpdateAccountDto
) : UpdatedAccountDto
post BR_ACC_25_DeriveLast4:
  let updatedAcc = Account.allInstances()->any(a | a.account_id = accountId) in
  updatedAcc.account_number_last_4 = dto.account_number_full.substring(
    dto.account_number_full.size() - 3, 
    dto.account_number_full.size()
  )
Technical constraint:
- The backend MUST implicitly derive account_number_last_4 by taking the exact last 4 characters of the submitted account_number_full.

BR-ACC-26: Account update persistence mapping
context AccountService::update(
  accountId : Integer,
  userId : Integer,
  dto : UpdateAccountDto
) : UpdatedAccountDto
post BR_ACC_26_StorageMapping:
  Account.allInstances()->exists(a |
    a.account_id = accountId and
    a.bank_name = dto.bank_name and
    a.account_type = dto.account_type and
    (dto.branch_name.oclIsUndefined() implies a.branch_name.oclIsUndefined()) and
    (not dto.branch_name.oclIsUndefined() implies a.branch_name = dto.branch_name) and
    a.account_number_full = dto.account_number_full and
    a.balance = dto.balance
  )
~~~"	UC-08	A153:B199
		UC-08	A153:B199
Use Case ID	UC-09	UC-09	A200:B218
Use Case Name	Delete a Bank Account	UC-09	A200:B218
Description	As an authenticated account owner, I want to permanently delete an account and its related transactions.	UC-09	A200:B218
Actor(s)	Authenticated User	UC-09	A200:B218
Priority	Not Specified	UC-09	A200:B218
Trigger	The user selects Delete from an account card or account detail page.	UC-09	A200:B218
Pre-Condition(s)	"PRE-1: The user is authenticated.
PRE-2: The account exists and is owned by the authenticated user."	UC-09	A200:B218
Post-Condition(s)	"POST-1: On confirmed success, all Transaction rows with the accountId and the Account row are deleted in one database transaction.
POST-2: On confirmed success, the system displays a success dialog, waits 1500ms, and then refreshes the account list or navigates to /accounts.
POST-3: On cancellation or rollback, no deletion is committed."	UC-09	A200:B218
Basic Flow	"1. The user selects Delete for an account.
2. Delete Account Modal displays the bank name, final four account digits, and a warning that all related transactions will be deleted.
3. The user selects Confirm Delete.
4. The frontend sends DELETE /api/v1/accounts/:id.
5. The controller validates that id parses to an integer.
6. AccountService starts a database transaction, loads the account, and verifies ownership.
7. AccountService deletes related Transaction rows.
8. AccountService deletes the Account row and commits the transaction.
9. The frontend closes the modal, displays a success dialog, waits 1500ms, and then refreshes the list or navigates to /accounts."	UC-09	A200:B218
Alternative Flow	"AF-1: Cancel deletion
3a. The user selects Cancel or closes the modal.
3b. No API request is sent and no data changes."	UC-09	A200:B218
Exception Flow	"EF-1: Invalid account ID
5a. The controller returns HTTP 400.

EF-2: Missing or non-owned account
6a. The service rolls back and returns HTTP 404 using the same message for both cases.

EF-3: Database deletion failure
7a. The service rolls back the transaction and returns HTTP 500."	UC-09	A200:B218
Related UI	AccountListPage; AccountDetailPage; DeleteAccountModal	UC-09	A200:B218
Related API IDs	API-ACCOUNT-DELETE	UC-09	A200:B218
Notes	Security rationale: An account that does not exist and an account not owned by the authenticated user are both reported as HTTP 404, rather than 403, to avoid disclosing the existence of another user's account.	UC-09	A200:B218
UML Model	"~~~plantuml
@startuml

class User <<Entity>> {
  user_id: Integer [1]
  full_name: String [1]
  email: String [1]
  username: String [1]
  password: String [1]
  phone_number: String [1]
  profile_picture_url: String [1]
  total_balance: Decimal [1]
}

class Account <<Entity>> {
  account_id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

class Transaction <<Entity>> {
  transaction_id: Integer [1]
  account_id: Integer [1]
  transaction_date: Date [1]
  type: TransactionType [1]
  item_description: String [1]
  shop_name: String [0..1]
  amount: Decimal [1]
  payment_method: String [0..1]
  status: TransactionStatus [1]
  receipt_id: String [0..1]
  category_id: Integer [0..1]
}

enum AccountType {
  Checking
  Credit_Card
  Savings
  Investment
  Loan
}

enum TransactionType {
  Revenue
  Expense
}

enum TransactionStatus {
  Complete
  Pending
  Failed
}

class DeleteAccountResponseDto <<DTO>> {
  message: String [1]
  deleted_account_id: Integer [1]
}

class AccountService <<Service>> {
  delete(accountId: Integer, userId: Integer): DeleteAccountResponseDto
}

User ""1"" -- ""0..*"" Account : owns
Account ""1"" -- ""0..*"" Transaction : contains
AccountService ..> DeleteAccountResponseDto
AccountService ..> Account : deletes
AccountService ..> Transaction : deletes cascade

@enduml
~~~"	UC-09	A200:B218
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-ACC-27: Account deletion ownership validation
context AccountService::delete(accountId : Integer, userId : Integer) : DeleteAccountResponseDto
pre BR_ACC_27_MustOwnAccount:
  Account.allInstances()->exists(a | a.account_id = accountId and a.user_id = userId)
Technical constraint:
- If the account does not exist or does not belong to the user, the backend intentionally throws a 404 NotFoundException to prevent data 
enumeration.

BR-ACC-28: Account deletion data integrity (Cascading)
context AccountService::delete(accountId : Integer, userId : Integer) : DeleteAccountResponseDto
post BR_ACC_28_AtomicDeletion:
  not Account.allInstances()->exists(a | a.account_id = accountId) and
  not Transaction.allInstances()->exists(t | t.account_id = accountId)
Technical constraint:
- The backend MUST execute the deletion of all related Transaction rows and the Account row within a single atomic database transaction (using QueryRunner). If any step fails, the entire transaction rolls back.
~~~"	UC-09	A200:B218
		UC-09	A200:B218
Use Case ID	UC-10	UC-10	A219:B237
Use Case Name	View Monthly Expense Summary	UC-10	A219:B237
Description	As an authenticated user, I want to view current-year expense totals grouped by month.	UC-10	A219:B237
Actor(s)	Authenticated User	UC-10	A219:B237
Priority	Not Specified	UC-10	A219:B237
Trigger	The user opens the Expenses page.	UC-10	A219:B237
Pre-Condition(s)	PRE-1: The user is authenticated.	UC-10	A219:B237
Post-Condition(s)	"POST-1: If eligible expense data exists, the system displays the user's monthly expense summary for the current calendar year.
POST-2: The monthly summary represents all twelve calendar months, with months containing no eligible expense transactions represented by zero."	UC-10	A219:B237
Basic Flow	"1. The user opens /expenses.
2. ExpenseSummaryChart sends GET /api/v1/expenses/summary.
3. JwtAuthGuard supplies userId.
4. ExpensesService loads account IDs owned by the user.
5. If accounts exist, the service aggregates only Expense transactions between the first and last day of the current year, grouped by SQL month and ordered ascending.
6. The backend returns data entries containing month abbreviations and totalExpense.
7. The frontend expands the response to Jan-Dec by inserting zero for missing months and renders the comparison bar chart."	UC-10	A219:B237
Alternative Flow	"AF-1: No owned accounts or no expense rows
4a. The service returns an empty array.
7a. The frontend displays its no-expense-data message rather than the chart."	UC-10	A219:B237
Exception Flow	"EF-1: Retrieval or aggregation failure
5a. The backend returns HTTP 500.
5b. The frontend displays the returned error value or its general loading error."	UC-10	A219:B237
Related UI	ExpensesPage; ExpenseSummaryChart; route /expenses	UC-10	A219:B237
Related API IDs	API-EXPENSE-SUMMARY	UC-10	A219:B237
Notes	Scope clarification: The expense summary aggregates the current calendar year only; the API does not accept a year parameter.	UC-10	A219:B237
UML Model	"~~~plantuml
@startuml

class AuthenticatedRequest <<DTO>> {
  userId: Integer [1]
  email: String [1]
}

class Account <<Entity>> {
  accountId: Integer [1]
  userId: Integer [1]
}

class Transaction <<Entity>> {
  transactionId: Integer [1]
  accountId: Integer [1]
  transactionDate: Date [1]
  type: TransactionType [1]
  amount: Decimal [1]
  status: TransactionStatus [1]
}

enum TransactionType {
  Revenue
  Expense
}

enum TransactionStatus {
  Complete
  Pending
  Failed
}

class ExpenseSummaryItem <<DTO>> {
  month: String [1]
  totalExpense: Number [1]
}

class ExpenseSummaryResponseDto <<DTO>> {
  data: ExpenseSummaryItem [0..*]
}

class JwtAuthGuard <<Guard>> {
  validate(token: BearerJWT): AuthenticatedRequest
}

class ExpensesController <<Controller>> {
  getExpenseSummary(request: AuthenticatedRequest): ExpenseSummaryResponseDto
}

class ExpensesService <<Service>> {
  getExpenseSummary(userId: Integer): Sequence(ExpenseSummaryItem)
}

Account ""1"" -- ""0..*"" Transaction : contains
ExpensesController ..> JwtAuthGuard : protected by
ExpensesController ..> ExpensesService
ExpensesController ..> ExpenseSummaryResponseDto : returns { data }
ExpensesService ..> Account : finds owned accounts
ExpensesService ..> Transaction : aggregates
ExpenseSummaryResponseDto --> ExpenseSummaryItem

note right of ExpensesService
  Uses the server's current calendar year.
  Returns only months having qualifying rows;
  a missing month is not returned by the API.
end note

@enduml
~~~"	UC-10	A219:B237
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-EXP-01: Authenticated ownership scope

context ExpensesService::getExpenseSummary(
  userId : Integer
) : Sequence(ExpenseSummaryItem)

pre BR_EXP_01_AuthenticatedIdentity:
  not userId.oclIsUndefined()

post BR_EXP_01_OwnedAccountsOnly:
  let ownedAccountIds : Set(Integer) =
    Account.allInstances()
      ->select(a | a.userId = userId)
      ->collect(a | a.accountId)
      ->asSet()
  in
    result->forAll(item |
      Transaction.allInstances()->exists(t |
        ownedAccountIds->includes(t.accountId) and
        t.type = TransactionType::Expense and
        yearOf(t.transactionDate) = currentYear() and
        monthOf(t.transactionDate) = monthNumber(item.month)
      )
    )

Technical constraints:
- JwtAuthGuard must validate a Bearer JWT before the controller reads request.user.userId.
- Only Accounts whose userId equals the authenticated userId are in scope; another user's transactions must never contribute.

BR-EXP-02: Current-year Expense inclusion and amount calculation

context ExpensesService::getExpenseSummary(
  userId : Integer
) : Sequence(ExpenseSummaryItem)

post BR_EXP_02_ExpenseSum:
  let ownedAccountIds : Set(Integer) =
    Account.allInstances()
      ->select(a | a.userId = userId)
      ->collect(a | a.accountId)
      ->asSet()
  in
    result->forAll(item |
      item.totalExpense =
        Transaction.allInstances()
          ->select(t |
            ownedAccountIds->includes(t.accountId) and
            t.type = TransactionType::Expense and
            yearOf(t.transactionDate) = currentYear() and
            monthOf(t.transactionDate) = monthNumber(item.month)
          )
          ->collect(t | t.amount)
          ->sum()
    )

Technical constraints:
- currentYear() is calculated by the backend from new Date().getFullYear().
- The SQL boundary is inclusive: 1 January 00:00:00 through 31 December 23:59:59 of that server-side year.
- No predicate is applied to Transactions.status; every matching Expense transaction is included regardless of Complete, Pending, or Failed status.

BR-EXP-03: Sparse monthly aggregation and ordering

context ExpensesService::getExpenseSummary(
  userId : Integer
) : Sequence(ExpenseSummaryItem)

post BR_EXP_03_MonthlyAggregation:
  result->isUnique(item | item.month) and
  result->forAll(item |
    monthNumber(item.month) >= 1 and
    monthNumber(item.month) <= 12
  ) and
  result->forAll(first |
    result->forAll(second |
      result->indexOf(first) < result->indexOf(second)
        implies monthNumber(first.month) < monthNumber(second.month)
    )
  )

Technical constraints:
- The database groups by MONTH(transaction_date) and orders ascending.
- month is mapped to Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, or Dec.
- totalExpense is SUM(amount), converted to a JavaScript number.
- The API returns only months with at least one qualifying row; it does not create zero-value items.

BR-EXP-04: Client-side full-year display

context ExpenseSummaryChart::renderChart(
  summaryData : Sequence(ExpenseSummaryItem)
) : Sequence(ExpenseSummaryItem)

pre BR_EXP_04_HasSummaryData:
  summaryData->notEmpty()

post BR_EXP_04_CompleteYearDisplay:
  result->size() = 12 and
  result->isUnique(item | item.month) and
  result->forAll(item |
    monthNumber(item.month) >= 1 and
    monthNumber(item.month) <= 12
  ) and
  result->forAll(item |
    summaryData->exists(source |
      source.month = item.month and
      source.totalExpense = item.totalExpense
    ) or
    (summaryData->forAll(source | source.month <> item.month) and
      item.totalExpense = 0)
  )

BR-EXP-05: Empty result and no-data UI

context ExpensesService::getExpenseSummary(
  userId : Integer
) : Sequence(ExpenseSummaryItem)

post BR_EXP_05_EmptyWhenNoQualifyingData:
  let ownedAccountIds : Set(Integer) =
    Account.allInstances()
      ->select(a | a.userId = userId)
      ->collect(a | a.accountId)
      ->asSet()
  in
    (ownedAccountIds->isEmpty() or
      Transaction.allInstances()->forAll(t |
        not (ownedAccountIds->includes(t.accountId) and
             t.type = TransactionType::Expense and
             yearOf(t.transactionDate) = currentYear())
      ))
    implies result->isEmpty()

Technical constraints:
- When summaryData is empty, ExpenseSummaryChart displays its no-expense-data message and does not render the twelve-bar chart.

BR-EXP-06: Read-only operation and response envelope

context ExpensesService::getExpenseSummary(
  userId : Integer
) : Sequence(ExpenseSummaryItem)

post BR_EXP_06_NoPersistentChanges:
  Account.allInstances() = Account.allInstances()@pre and
  Transaction.allInstances() = Transaction.allInstances()@pre

Technical constraints:
- GET /api/v1/expenses/summary performs no create, update, or delete operation.
- On HTTP 200, ExpensesController returns exactly { data: summary }; this endpoint does not return success or message fields.
~~~"	UC-10	A219:B237
		UC-10	A219:B237
Use Case ID	UC-11	UC-11	A238:B256
Use Case Name	View Expenses by Category	UC-11	A238:B256
Description	As an authenticated user, I want to view one month's Expense transactions grouped by category and compared with the previous month.	UC-11	A238:B256
Actor(s)	Authenticated User	UC-11	A238:B256
Priority	Not Specified	UC-11	A238:B256
Trigger	The user opens the Expenses page or changes the month input.	UC-11	A238:B256
Pre-Condition(s)	"PRE-1: The user is authenticated.
PRE-2: selectedMonth is initialized to the current month in YYYY-MM form."	UC-11	A238:B256
Post-Condition(s)	"POST-1: The page displays category totals, changePercent, and underlying transactions for the selected month.
POST-2: Category groups are sorted by total descending.
POST-3: If no data exists, the frontend displays its no-data message."	UC-11	A238:B256
Basic Flow	"1. The user opens /expenses.
2. ExpensesPage initializes selectedMonth to the current YYYY-MM value.
3. ExpensesBreakdown sends GET /api/v1/expenses/breakdown?month=selectedMonth.
4. The controller requires month to match four digits, a hyphen, and two digits.
5. ExpensesService loads account IDs owned by the user and parses year and month number.
6. The service queries current-month and previous-month Expense transactions for those accounts.
7. Current-month rows are grouped by categoryId; previous-month totals are grouped by the same key.
8. The service labels categoryId 0 as Uncategorized, unresolved category IDs as Unknown, calculates changePercent, rounds totals and percentages to two decimals, and sorts category groups by total descending.
9. The frontend displays each category, total, change percentage, and subcategory transaction rows."	UC-11	A238:B256
Alternative Flow	"AF-1: Select another month
2a. The user changes the HTML month input.
3a. The component requests the new selectedMonth.

AF-2: Uncategorized transaction
8a. A transaction with null categoryId is returned under Uncategorized.

AF-3: Previous category total equals zero
8a. changePercent is 100 when the current total is positive; otherwise it is null."	UC-11	A238:B256
Exception Flow	"EF-1: Invalid month syntax
4a. The controller returns HTTP 400.

EF-2: No accounts, invalid month number, or no current-month expense rows
5a. The service returns HTTP 404 with its no-data error.

EF-3: Retrieval failure
6a. The backend returns HTTP 500 and the frontend displays its error state."	UC-11	A238:B256
Related UI	ExpensesPage; ExpensesBreakdown; month input; route /expenses	UC-11	A238:B256
Related API IDs	API-EXPENSE-BREAKDOWN	UC-11	A238:B256
Notes	Not specified	UC-11	A238:B256
UML Model	"~~~plantuml
@startuml

class AuthenticatedRequest <<DTO>> {
  userId: Integer [1]
}

class Account <<Entity>> {
  accountId: Integer [1]
  userId: Integer [1]
}

class Transaction <<Entity>> {
  transactionId: Integer [1]
  accountId: Integer [1]
  transactionDate: Date [1]
  type: TransactionType [1]
  itemDescription: String [1]
  amount: Decimal [1]
  status: TransactionStatus [1]
  categoryId: Integer [0..1]
}

class Category <<Entity>> {
  categoryId: Integer [1]
  categoryName: String [1]
}

enum TransactionType {
  Revenue
  Expense
}

enum TransactionStatus {
  Complete
  Pending
  Failed
}

class ExpenseSubCategory <<DTO>> {
  item_description: String [1]
  amount: Number [1]
  date: String [1]
}

class BreakdownResult <<DTO>> {
  category: String [1]
  total: Number [1]
  changePercent: Number [0..1]
  subCategories: ExpenseSubCategory [1..*] {ordered}
}

class ExpenseBreakdownResponse <<DTO>> {
  data: BreakdownResult [1..*] {ordered}
}

class JwtAuthGuard <<Guard>> {
  validate(token: BearerJWT): AuthenticatedRequest
}

class ExpensesController <<Controller>> {
  getExpensesBreakdown(request: AuthenticatedRequest, month: String): ExpenseBreakdownResponse
}

class ExpensesService <<Service>> {
  getExpensesBreakdown(userId: Integer, month: String): Sequence(BreakdownResult)
}

class ExpensesPage <<UI>> {
  selectedMonth: String [1]
}

class ExpensesBreakdown <<UI>> {
  month: String [1]
  expensesData: BreakdownResult [*]
  fetchExpensesBreakdown(month: String)
}

Account ""1"" -- ""0..*"" Transaction : owns transactions
Category ""0..1"" -- ""0..*"" Transaction : classifies
ExpensesController ..> JwtAuthGuard : protected by
ExpensesController ..> ExpensesService
ExpensesController ..> ExpenseBreakdownResponse : returns { data }
ExpensesService ..> Account : resolves owned accountIds
ExpensesService ..> Transaction : loads current/previous Expense rows
ExpensesService ..> Category : resolves categoryName
ExpenseBreakdownResponse --> BreakdownResult
BreakdownResult --> ExpenseSubCategory
ExpensesPage --> ExpensesBreakdown : passes selectedMonth
ExpensesBreakdown ..> ExpenseBreakdownResponse : GET /api/v1/expenses/breakdown

note right of ExpensesService
  Current-month and previous-month queries use inclusive
  calendar-month boundaries. January compares with December
  of the preceding year. Groups are sorted by total descending.
end note

note right of ExpensesBreakdown
  Figma 109. Expenses shows category cards with total,
  comparison to last month, and transaction description,
  amount, and date rows.
end note

@enduml
~~~"	UC-11	A238:B256
